ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D276749,北京馨康天保堂医药有限公司紫竹桥店,C,7421.555,D106309,北京恒创佳益医药有限公司,北京市海淀区紫竹院街道市检察院宿舍7号楼南侧2幢平房,116.316143,39.939119,False,31.65947032863234,525643,,1,315
D276750,北京馨康天保堂医药有限公司学院路店,C,14967.314,D106309,北京恒创佳益医药有限公司,北京市海淀区学院路17号1幢,116.352556,39.994347,False,29.658678759961884,486744,,1,316
D276755,北京东升天保堂连锁药店有限公司石景山店,C,10781.763,D106309,北京恒创佳益医药有限公司,北京市石景山区阜石路158号F1F0001号铺位,116.203846,39.922477,False,18.367518535957448,300367,,2,317
D276756,北京东升天保堂连锁药店有限公司知春路店,C,10639.876,D106309,北京恒创佳益医药有限公司,北京市海淀区知春路50号,116.338158,39.975669,False,33.8664227408059,560371,,1,318
D278269,北京颐寿百姓大药房有限责任公司石景山杨庄店,C,26228.023,C700535,叮当智慧药房(北京)有限公司,颐寿百姓大药房(石景山杨庄店),116.197144,39.915918,False,16.57990532228538,259444,,3,319
D278280,仁和药房网（北京）医药科技有限公司第四十六药房,C,49141.45,W219051,仁和药房网（北京）医药科技有限公司,北京市大兴区亦庄镇小康家园2幢1-2号12室,116.522138,39.821895,False,11.270749904890014,154176,,3,320
D278281,仁和药房网（北京）医药科技有限公司第四十七药房,C,0,W219051,仁和药房网（北京）医药科技有限公司,北京市北京经济技术开发区文化园西路6号院5号楼地下一层112,116.496816,39.806756,False,8.642537039742622,144928,,4,321
D279534,北京天保堂医药有限公司立汤路药店,C,5641.912,D106309,北京恒创佳益医药有限公司,北京市昌平区东小口镇中滩村南3号,116.409205,40.056027,False,14.084090941760229,232180,,3,322
D280079,北京同仁堂京北企业管理有限公司北沙滩药店,C,4881.647,W701927,北京同仁堂商业投资集团有限公司,北京市朝阳区双泉堡（松鹤服装厂）1幢,116.356858,40.01498,False,13.291458382519581,219427,,3,323
D280080,北京同仁堂连锁药店有限责任公司石景山路药店,C,3733.073,W701927,北京同仁堂商业投资集团有限公司,北京市石景山区石景山路31号院盛景国际广场4号楼101-F1013A、101-F1013B、101-F1013C,116.201606,39.908319,False,20.268379941917505,337238,,2,324
D280880,北京京海康佰馨医药有限责任公司第二十六分公司,C,12109.582,D201169,北京京海康佰馨医药有限责任公司,北京市朝阳区定福庄西街（内蒙古饭店）6号楼一层,116.552813,39.911141,False,12.120450601437895,194668,,3,325
D282022,北京同仁堂京北企业管理有限公司怀柔药店,C,1865.151,W701927,北京同仁堂商业投资集团有限公司,北京市怀柔区青春路富乐小区南里28号楼,116.630826,40.330902,False,5.395131529872949,89150,,4,326
D282026,北京同仁堂善和医药有限公司大峪药店,C,21825.696,W701927,北京同仁堂商业投资集团有限公司,北京市门头沟区新桥大街74号,116.103253,39.93818,True,10.536916778223912,161228,,3,327
