ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D144204,北京颐寿百姓大药房有限责任公司景泰家园店,B,86345.753,C700535,叮当智慧药房(北京)有限公司,颐寿百姓大药房(景泰家园店),116.433226,39.898889,False,23.915066430161023,339845,,2,956
D144238,北京东升天保堂连锁药店有限公司广安门店,B,1355.668,D202123,新龙药业集团京芝堂北京医药连锁有限公司,北京市西城区广安门车站西街1号院1号楼1层101-2,116.341226,39.883521,False,33.53382350310927,561373,,1,957
D145689,北京永秀堂大药房有限责任公司大陈各庄店,C,2266.206,,,永秀堂大药房(大陈各庄店),116.500006,40.062743,False,2.9916235532435382,48561,,4,958
D146558,北京同仁堂连锁药店有限公司北京同仁堂北太平庄药店,B,4884.614,W701927,北京同仁堂商业投资集团有限公司,同仁堂连锁药店(同仁堂北太平庄药店),116.396276,39.895864,False,27.03020498644927,449812,,1,959
D147050,北京高远百康大药房有限公司熊猫环岛分店,C,10351.433,D070415,北京高远百康大药房有限公司,北京市朝阳区鼓楼外大街1号楼1层,116.393619,39.97522,True,18.596095391472335,304505,,2,960
D147054,北京凯尔康大药房有限责任公司天通苑东三区分公司,B,17744.493,D070508,北京凯尔康大药房有限责任公司,北京市昌平区东小口镇天通东苑二区19号楼1至2层14-101、15-101,116.439892,40.068256,False,7.63938103275768,115531,,4,961
D147057,北京开心人大药房百子湾店,A,9193.347,D070507,北京开心人大药房有限公司,开心人大药房百子湾店,116.455655,39.881825,False,19.289470030778936,316953,,2,962
D147823,北京百好堂医药经营有限公司,C,8518.897,,,北京市朝阳区黑庄户乡大鲁店一村北口1号院03号门面房,116.597263,39.834802,False,3.0648575685256363,45358,,4,963
D147856,北京四季堂大药房有限责任公司第二分店,B,2150.345,,,北京市丰台区紫芳园6区5-2-218,116.444615,39.859509,False,21.718982614326066,362685,,2,964
D147872,北京惠全堂大药房有限公司,B,8981.457,,,北京市东城区新怡家园1号楼底商6,116.415781,39.899131,True,21.33231899276423,351360,,2,965
D152229,北京京海康佰馨医药有限责任公司第七分公司,C,29128.53,D201169,北京京海康佰馨医药有限责任公司,北京市朝阳区高家园小区311号中部,116.480361,39.978931,False,16.36734189068084,253824,,3,966
D152230,北京健金康大药店,C,7891.922,,,健金康大药店,116.500126,39.964696,False,9.685925652907144,156832,,3,967
D152238,北京国大药房连锁有限公司芍药居连锁店,B,8266.655,W219036,北京国大药房连锁有限公司,北京市朝阳区芍药居北里317号楼1层6单元317-1,116.431985,39.985442,True,13.540835454299877,221210,,3,968
D152243,北京百信德康医药有限公司,B,4123.768,,,百信德康,116.233014,40.223777,True,12.372325128735307,204551,,3,969
D152774,北京市京芝堂大药房有限公司高碑店分店,B,5869.309,D202123,新龙药业集团京芝堂北京医药连锁有限公司,市京芝堂大药房(高碑店分店),116.560168,39.903643,False,12.325036286002542,202521,,3,970
D153228,北京市康中福大药房有限公司湖光中街店,B,11575.435,,,北京市朝阳区南湖中园317号楼1层1单元101,116.458861,39.996702,True,15.687683761988731,254866,,3,971
D161910,北京海王星辰兴达药店有限公司,B,6643.041,C700792,北京海王星辰药房有限公司（总部）,北京市朝阳区大山子20号楼北侧,116.486701,39.984919,False,12.08652198393934,197973,,3,972
D161915,北京瑞恩堂金象大药房有限责任公司,B,14830.964,W219032,北京金象大药房医药连锁有限责任公司,北京市西城区广安门外鸭子桥北里6号楼,116.347826,39.877731,False,33.290071724586696,547736,,1,973
D161916,北京白云金象大药房有限责任公司,B,8993.549,W219032,北京金象大药房医药连锁有限责任公司,白云金象大药房,116.37286,39.93181,False,22.811318774770474,376153,,2,974
D162908,北京金象大药房医药连锁有限责任公司朝外金象大药房,A,24585.837,W219032,北京金象大药房医药连锁有限责任公司,北京市朝阳区朝阳门外大街8号,116.449114,39.922649,False,25.531058953544537,410711,,2,975
D169586,思方隆(北京)医药有限公司东城三分店,A,8194.434,C700534,思方隆(北京)医药有限公司,思方隆(东城三分店),116.442292,39.885557,False,25.890049302467926,428347,,2,976
D170179,北京康之选大药房有限责任公司白塔寺店,C,8246.238,,,北京市西城区翠花街5号房号109-111,116.367182,39.929291,False,28.3575394111235,469688,,1,977
D170383,北京百姓康乐大药房,B,0,,,北京市大兴区旧宫镇集贤二队隆盛农贸市场68、69、70号,116.436516,39.812896,False,8.456838897618544,141814,,4,978
D170388,北京高远百康大药房有限公司梨园分店,A,11724.369,D070415,北京高远百康大药房有限公司,北京市通州区梨园镇北杨洼255号,116.665802,39.886688,True,10.41380551088916,166322,,3,979
D170389,北京高远百康大药房有限公司运河大街,A,11486.984,D070415,北京高远百康大药房有限公司,高远百康大药房(运河大街),116.690999,39.890701,False,7.545608447849621,118393,,4,980
D170391,北京高远百康大药房有限公司玉桥北里分店,A,6751.106,D070415,北京高远百康大药房有限公司,北京市通州区玉桥北里41号楼,116.681452,39.893573,True,9.750421587520107,158722,,3,981
D171583,北京管庄金象大药房有限责任公司,B,6068.293,W219032,北京金象大药房医药连锁有限责任公司,北京市朝阳区常营南路50号院（汇鸿家园）12-14商业113号,116.587341,39.919675,False,12.129499438888827,199101,,3,982
D171678,北京同仁堂颐和园路药店有限公司,C,1604.246,W701927,北京同仁堂商业投资集团有限公司,北京市海淀区颐和园宫门前街1号89至91幢平房,116.282757,39.999192,False,4.709414328105286,77836,,4,983
D171703,北京宁济堂大药房有限责任公司,C,3193.96,,,北京市西城区红居街10号楼1层A商2,116.33701,39.887164,False,28.003533406271796,467332,,1,984
D172849,北京同仁堂连锁药店有限责任公司和庭药店,C,7323.726,W701927,北京同仁堂商业投资集团有限公司,北京市西城区莲花河胡同2号院1号楼底商109,116.328305,39.893049,True,31.02644312523538,515097,,1,985
D172853,北京同仁堂连锁药店有限责任公司辛庄桥西药店,C,9441.339,W701927,北京同仁堂商业投资集团有限公司,北京市昌平区北清路中关村国际商城永旺购物中心一层,116.288415,40.097012,True,6.9624733496386275,110064,,4,986
